,catalog_number,right_ascension,declination,spectral_type_a,spectral_type_b,v_magnitude,ascension_proper_motion,declination_proper_motion,UVEC_ECI,ANG_DIST,UVEC_BODY,LAMBDA_STAR,IMAGE_CENTROID,IN_IMAGE
0,403.0,0.3744458466049501,1.0513039230755958,b'A',b'5',2.68,1.4398966641238076e-06,-2.472549738286034e-07,[0.4620415  0.18157616 0.86807128],0.060335114796097336,[-0.04471024  0.04045868  0.99818039],-3005.468783879413,[ 134.37524046 -121.59730928],True
0,442.0,0.40985421380478515,1.0337924529139193,b'G',b'9',4.71,-1.7938106111614616e-07,-1.0181087617411322e-07,[0.46919561 0.20384574 0.85924525],0.06693420427178783,[-0.06274867  0.02315396  0.99776074],-3006.732849501358,[188.66847436 -69.61777828],True
0,480.0,0.44912412197465756,1.2325951509896957,b'B',b'9',5.18,3.7330653412936954e-07,-6.302578015038307e-08,[0.29888627 0.14405579 0.94335302],0.13618273783468196,[0.13559042 0.00682715 0.99074145],-3028.035205913506,[-410.57257755  -20.67285217],True
0,542.0,0.49914234945472835,1.1112511347447895,b'B',b'3',3.38,1.551403840949206e-07,-1.0181087617411322e-07,[0.38942567 0.21231074 0.89625432],0.023529465103346255,[ 0.01560432 -0.01760792  0.99972319],-3000.83064520554,[-46.82591547  52.83838421],True
0,548.0,0.5061454830783557,1.1987842448691162,b'B',b'8',4.99,6.302578015038307e-08,-5.3329504368093694e-08,[0.31791606 0.17622375 0.93159786],0.10415253568888971,[ 0.10294823 -0.01449981  0.99458103],-3016.345497970748,[-310.52743242   43.73644752],True
0,567.0,0.5219988904506375,1.1278560033227913,b'A',b'0',5.26,1.5998851665699476e-07,-9.696273650661169e-08,[0.37151903 0.21370483 0.90349535],0.042134426293778844,[ 0.03289259 -0.02631229  0.99911248],-3002.6649360700485,[-98.76543824  79.00700294],True
0,575.0,0.5321363445226377,1.2375596430842577,b'A',b'3',4.54,-3.248251800869184e-07,1.9392548011865074e-08,[0.28187318 0.16596421 0.94498857],0.14395007718679328,[ 0.14202667 -0.02018207  0.98965707],-3031.3530837913568,[-430.53298483   61.17897994],True
0,590.0,0.5336416910024829,0.9509862761804104,b'B',b'8',5.04,1.696847817811431e-07,-9.696274005932537e-09,[0.50011513 0.29547771 0.81398881],0.15055400395267182,[-0.14225304 -0.04753777  0.98868814],-3034.323856100066,[431.64179875 144.24500431],True
0,685.0,0.6211481363743487,0.9746888170498557,b'A',b'2',5.17,-9.696274005932537e-09,-9.696274005932537e-09,[0.45655736 0.32673241 0.82752722],0.14703521880420348,[-0.11234116 -0.09403972  0.98920978],-3032.7237472054503,[340.69969101 285.19650665],True
0,707.0,0.6504260345765537,1.176395549075478,b'A',b'5',4.52,-8.241832460953447e-08,5.3329504368093694e-08,[0.30580011 0.23267623 0.92322698],0.11334065686869499,[ 0.0881053  -0.07091296  0.99358382],-3019.3728373772965,[-266.02273801  214.11266649],True
0,834.0,0.744804713878147,0.9755614816758528,b'K',b'3',3.76,8.241832460953447e-08,-6.787391271245724e-08,[0.41224039 0.38006048 0.82801684],0.18856382352589895,[-0.09591695 -0.16104915  0.98227446],-3054.1362229983406,[292.94342604 491.86605674],True
0,985.0,0.8726209927658648,1.1458474390287663,b'B',b'2',4.84,7.272205237995877e-08,-6.302578015038307e-08,[0.26501854 0.31580881 0.91105981],0.18540285257763867,[ 0.08489142 -0.16363253  0.98286207],-3052.310287565649,[-259.11494609  499.45724171],True
